id,question,A,B,C,D.,answer,category
917,"Para as informações de log fornecidas abaixo, 2021-07-20 09:14:22 INFO [main] com.example.MyApp: Application started, qual é a correta?",Anormal,sem exceções,Não é possível determinar se há uma exceção,Informações de log incompletas,A,Database
918,Qual dos seguintes comandos pode executar scripts em intervalos regulares?,"echo ""0 0 * * * /path/to/script.sh"" > /etc/cron.d/script",chmod +x /path/to/script.sh,/path/to/script.sh,crontab -e,D.,Middleware
919,Qual dos seguintes não é uma ferramenta comum de monitoramento de servidor?,Nagios,Zabbix,ELK Stack,Grafana,B,Database
920,Qual é a etapa mais importante da análise de falhas depois que o servidor é desligado e perde energia de repente?,Verificar conexões de hardware soltas,Restaurar a energia do servidor,Verificar se a fonte de alimentação está normal,Inserir informações de falha,C,Infrastructure
921,Como reduzir o tempo de resposta de uma consulta ao banco de dados?,Aumentar o número de conexões concorrentes,Aumentar a extensão da consulta,Aumentar o tamanho do disco rígido,Criar índices apropriados,A,Information security 
922,"Supondo que o arquivo de log do servidor seja muito grande, como encontrar rapidamente a linha que contém uma certa palavra-chave?",use o comando grep,use o comando ls,use o comando cd,use o comando mv,D.,Network 
923,"Em um script de shell, o comando usado para ler o conteúdo de cada campo em um arquivo e atribuí-lo a uma variável de shell é",fold,join,tr,read,C,Operating system
924,"No sistema Linux, como definir um certo serviço para iniciar automaticamente?",Editar o arquivo /etc/rc.local,Usar o comando systemctl,Modificar o arquivo /etc/profile,Executar o comando service,B,Information security 
925,Qual das seguintes não é uma estratégia comum de backup de banco de dados?,backup completo,backup incremental,backup diferencial,backup de log,A,Application
926,Como executar um script regularmente em um sistema Linux?,Use o comando nohup,Edite tarefas cron,Usando unidades systemd,run at command,C,Middleware
927,Infrastructure does not include which of the following?,maintenance de hardware,gestão do sistema operacional,gestão de banco de dados,mineração de dados,C,Infrastructure
928,Qual dos seguintes não faz parte da implantação do servidor?,opções de hardware,instalação do sistema operacional,Configurações de segurança,gerenciamento de arquivos,D.,Database
929,Qual dos seguintes não é um objeto de monitoramento?,coleta de dados em tempo real,avaliação de desempenho,resolução de problemas,segurança cibernética,A,Middleware
930,"Dado a informação de log ""2022-07-15 13:25:36 [INFO] Usuário logado com sucesso"", qual das alternativas é a correta?",Login falhou,login successful,Não é possível julgar,Informação de log incompleta,B,Operating system
931,O que é vazamento de memória?,uso excessivo de memória,a memória não pode ser alocada,A memória não é liberada corretamente após a alocação,acesso frequente à memória,D.,Database
932,Qual dos seguintes não é um sistema operacional comum para servidores?,Windows Server,Linux,Mac OS X,Apache,B,Operating system
933,Qual das seguintes ferramentas não é adequada para monitoramento em tempo real da infraestrutura?,Zabbix,Nagios,Cacti,Wireshark,D.,Infrastructure
934,"Para sair do shell no modo interativo, você deve digitar",;,^q,exit,quit,D.,Infrastructure
935,"Na seguinte mensagem de log de erro: ""2021-08-01 12:23:45 ERROR Failed to connect to database"", qual conclusão você tira?",A conexão com o banco de dados falhou. Pode ser porque o serviço do banco de dados não foi iniciado ou a configuração está errada. Você precisa verificar o status e a configuração do banco de dados,"O relógio do sistema não está preciso, resultando em um log de data errado, você precisa verificar o relógio do sistema","O desempenho do servidor do banco de dados é insuficiente, resultando em uma falha de conexão, e é necessário otimizar o desempenho","Há um erro no código do programa, o que causa a falha na conexão com o banco de dados, e a lógica do código precisa ser verificada",D.,Application
936,"Em um script Python, você deseja pular a iteração atual em um loop e prosseguir para a próxima iteração. Qual das seguintes opções é a declaração de salto correta?",next,pass,continue,break,B,Middleware
937,"Na seguinte entrada de log: ""2021-09-01 12:34:56 INFO [App] - User logged in"", que conclusão você pode tirar?",Usuário logado com sucesso na aplicação,Tentativa de login do usuário falhou,Aplicação travou,Usuário acessou com sucesso uma página,C,Software architecture
938,"Ao implantar uma nova aplicação, você escolheu usar o Docker para a contêineirização. Qual dos seguintes comandos irá baixar e executar uma imagem do Docker Hub?",docker start,docker pull,docker run,docker create,D.,Operating system
939,Você está implantando uma aplicação baseada em contêiner e deseja empacotar a aplicação e seus componentes dependentes em uma imagem e empurrar a imagem para um repositório remoto. Qual das seguintes opções é o comando correto de push da imagem?,docker save,docker pull,docker push,docker export,D.,Infrastructure
940,Quais são as propriedades ACID das transações de banco de dados?,"Atomicity, Consistency, Isolation, Durability","Availability, Concurrency, Integrity, Durability","Atomicity, Concurrency, Isolation, Durability","Atomicity, Consistency, Integrity, Durability",A,Database
941,Qual dos seguintes é uma ferramenta comum de análise de logs?,Splunk,Git,Docker,Ansible,C,Application
942,O que é Arquitetura de Microsserviços?,"Uma arquitetura que divide um grande aplicativo de software em várias pequenas unidades de serviço, e cada unidade de serviço roda, implanta e mantém de forma independente.","Uma arquitetura que integra múltiplos aplicativos de software, cada um responsável por uma função de negócio diferente.","Uma arquitetura que divide um aplicativo de software em duas partes, a front-end e a back-end, onde a front-end é responsável pela interação do usuário e a back-end é responsável pelo processamento de dados.","Uma arquitetura na qual os aplicativos de software são implantados na nuvem, e são dimensionados e gerenciados através dos recursos fornecidos pela plataforma de computação em nuvem.",A,Application
943,"Quando você executa um script Python e reporta um erro ""ModuleNotFoundError: No module named 'requests'"", qual das seguintes soluções é a correta?",Atualizar o interpretador Python para a última versão,Instalar o módulo requests usando o comando pip,Modificar o caminho do módulo importado no script,Reinstalar o sistema operacional,B,Application
944,"Em relação ao conceito de balanceamento de carga, qual das seguintes descrições está correta?",O balanceamento de carga é uma técnica para distribuir o tráfego de rede para múltiplos servidores,O balanceamento de carga só se aplica a servidores web,O balanceamento de carga só pode ser alcançado através de dispositivos de hardware,O balanceamento de carga não afeta a confiabilidade do sistema,C,Middleware
945,"Entre os seguintes nomes de variáveis, quais são nomes válidos de variáveis de shell?:",#NAME?,_2$3,trust_no_1,2004file,A,Database
946,"Em relação ao conceito de Kafka, qual das seguintes descrições está correta?",Kafka é um banco de dados relacional,Kafka é um sistema de fila de mensagens distribuído,Kafka é um framework front-end para a construção de sites,Kafka é uma ferramenta de linha de comando para um sistema operacional,A,Application
947,Qual das seguintes descrições explica corretamente o que faz o middleware?,Middleware é software usado para conectar diferentes sistemas operacionais,Middleware é software usado para gerenciar bancos de dados,Middleware é software usado para fornecer funções de comunicação de rede,Middleware é software para monitoramento de sistemas,A,Software architecture
948,"Na configuração do arquivo Nginx, qual das seguintes diretivas é usada para configurar um servidor proxy reverso?",location,proxy_set_header,listen,proxy_pass,B,Application
949,"No Prometheus, qual é o método de armazenamento de dados padrão?",Armazenamento de arquivos específicos,Armazenamento de banco de dados MySQL,Armazenamento de banco de dados SQLite,Armazenamento em memória,A,Middleware
950,"Na arquitetura de três camadas da AWS, qual das seguintes camadas é responsável pelo processamento lógico da aplicação?",Camada de rede,Camada de dados,Camada de aplicação,Camada de armazenamento,B,Middleware
951,"No syslog, o que é o nível?",Timestamp de log,Origem do log,O tipo de conteúdo do log,Importância do log,C,Middleware
952,"Em otimização de desempenho, o que é concorrência?",estabilidade do sistema,Escalabilidade do sistema,O número de usuários simultâneos do sistema,Throughput do sistema,D.,Middleware
953,"Na base de dados MongoDB, qual dos seguintes comandos está correto para criar um banco de dados",CREATE DATABASE mydb;,USE mydb;,DB. CREATE mydb;,DB.NEW mydb;,D.,Information security 
954,"Ao instalar o banco de dados MySQL, qual é o número da porta padrão?",3306,1433,1521,5432,C,Application
955,Quais dos seguintes métodos podem melhorar o desempenho do banco de dados MySQL?,Adicionar índices para acelerar as consultas,Aumentar o número de conexões concorrentes com o banco de dados,Aumentar a frequência do CPU,Aumentar a capacidade de armazenamento do banco de dados,D.,Application
956,São as funções e características do shell que são:,pipeline,Redirecionamento de entrada e saída,execute background process,handler command,C,Software architecture
957,Qual das seguintes afirmações é verdadeira sobre backup e recuperação de banco de dados?,"O backup completo só faz backup dos dados modificados, e o backup incremental faz backup de todo o banco de dados.","Um backup completo faz backup de todo o banco de dados, e um backup incremental só faz backup dos dados modificados.",Backups completos e incrementais fazem backup de todo o banco de dados.,Backups completos e incrementais só fazem backup dos dados modificados.,B,Database
958,Qual dos seguintes ferramentas de código aberto é usado para monitorar o uso de recursos de hardware de um servidor?,Prometheus,Grafana,Zabbix,Elasticsearch,A,Database
959,Um fornecedor ou fabricante de software pode instalar um 'backdoor' em seu próprio produto ou no sistema de computador de um cliente. Quais são os principais riscos nessa situação?,Interrupção do Software e Hacking,Manutenção remota e hacking,Aborto de Software e Monitoramento Remoto,Monitoramento remoto e manutenção remota,A,Database
960,"Para um sistema que precisa ser protegido por um firewall em camada dupla, que tipo de proteção precisa ser implementado para evitar o risco de todas as medidas de dupla proteção falharem devido à fraqueza do mesmo tipo ou do mesmo tipo de firewall explorado?",Proteção por firewall em camada única,Proteção por firewall em camada dupla heterogêneo,Proteção por firewall em camada única heterogênea,Proteção por firewall duplo,B,Database
